# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
400000 400000 400000 290.854 -303.184 101127 0.998384 -33248.6 -39099.8
400050 400050 400050 286.947 148.203 101092 0.998726 -33304.1 -39076.8
400100 400100 400100 289.261 156.178 101071 0.998939 -33397.7 -39216.9
400150 400150 400150 286.786 -300.325 101081 0.998841 -33467.9 -39237.3
400200 400200 400200 279.791 -307.325 101047 0.999173 -33529.7 -39158.4
400250 400250 400250 281.925 -169.854 100958 1.00005 -33583.1 -39254.7
400300 400300 400300 281.588 17.3595 100838 1.00124 -33633.9 -39298.8
400350 400350 400350 282.476 271.106 100720 1.00242 -33687.3 -39370
400400 400400 400400 282.116 190.102 100647 1.00314 -33746.1 -39421.5
400450 400450 400450 283.375 171.065 100617 1.00344 -33814.5 -39515.3
400500 400500 400500 280.537 233.965 100633 1.00328 -33872.5 -39516.2
400550 400550 400550 281.128 190.174 100695 1.00267 -33914 -39569.6
400600 400600 400600 278.745 -70.0448 100790 1.00172 -33947.9 -39555.5
400650 400650 400650 277.174 -283.225 100868 1.00095 -33966.8 -39542.9
400700 400700 400700 277.632 -188.58 100884 1.00078 -33960 -39545.2
400750 400750 400750 277.415 101.151 100860 1.00103 -33924.2 -39505.1
400800 400800 400800 280.758 156.611 100851 1.00111 -33855.2 -39503.3
400850 400850 400850 281.359 180.709 100869 1.00094 -33797.8 -39458
400900 400900 400900 282.214 69.1425 100912 1.00051 -33770.7 -39448.1
400950 400950 400950 283.25 -107.493 100968 0.999957 -33770.5 -39468.7
401000 401000 401000 281.831 -218.19 101006 0.999575 -33784 -39453.8
401050 401050 401050 277.749 -194.819 101017 0.999465 -33790.8 -39378.4
401100 401100 401100 279.733 -118.272 100984 0.999793 -33791.4 -39419
401150 401150 401150 281.033 58.6064 100916 1.00047 -33799.8 -39453.5
401200 401200 401200 283.353 266.332 100860 1.00102 -33827.4 -39527.7
401250 401250 401250 276.786 315.025 100849 1.00113 -33876.8 -39445
401300 401300 401300 278.818 -32.1332 100874 1.00089 -33925.1 -39534.2
401350 401350 401350 279.702 -169.38 100891 1.00072 -33948.9 -39575.8
401400 401400 401400 277.286 -432.364 100875 1.00088 -33948.8 -39527.1
401450 401450 401450 279.462 -170.139 100781 1.00181 -33934.2 -39556.2
401500 401500 401500 280.129 298.395 100652 1.00309 -33915.5 -39551
401550 401550 401550 280.55 233.571 100558 1.00403 -33898.8 -39542.8
401600 401600 401600 273.656 406.913 100492 1.00469 -33884.6 -39389.9
401650 401650 401650 281.223 297.852 100477 1.00484 -33845.5 -39503
401700 401700 401700 280.206 332.568 100520 1.00441 -33809 -39446.1
401750 401750 401750 281.989 -148.112 100607 1.00355 -33781.8 -39454.7
401800 401800 401800 285.331 -132.944 100685 1.00277 -33757.8 -39497.9
401850 401850 401850 276.679 -63.7761 100767 1.00194 -33721.8 -39287.9
401900 401900 401900 280.695 107.4 100851 1.00112 -33635.4 -39282.3
401950 401950 401950 287.265 -42.0051 100956 1.00007 -33575.4 -39354.5
402000 402000 402000 284.67 -335.273 101077 0.998874 -33586.8 -39313.6
402050 402050 402050 284.633 -367.736 101164 0.998018 -33618.8 -39344.9
402100 402100 402100 281.109 -174.191 101203 0.997636 -33659.3 -39314.5
402150 402150 402150 281.264 -206.19 101211 0.997551 -33693.3 -39351.7
402200 402200 402200 284.771 -14.1641 101192 0.997737 -33727.2 -39456
402250 402250 402250 283.957 22.9984 101183 0.997833 -33768.3 -39480.8
402300 402300 402300 276.825 83.1418 101187 0.997786 -33801.8 -39370.8
402350 402350 402350 278.125 -214.829 101194 0.997724 -33803.1 -39398.3
402400 402400 402400 277.761 -13.1478 101173 0.99793 -33786.6 -39374.5
402450 402450 402450 280.203 130.891 101143 0.998223 -33768.4 -39405.4
402500 402500 402500 281.34 332.751 101142 0.998231 -33756.3 -39416.1
402550 402550 402550 283.583 -173.597 101190 0.997761 -33747.2 -39452.2
402600 402600 402600 282.113 -448.336 101213 0.997529 -33755.6 -39431
402650 402650 402650 278.868 -159.345 101164 0.998014 -33796.8 -39406.9
402700 402700 402700 280.712 -420.073 101054 0.999099 -33868.9 -39516.1
402750 402750 402750 274.66 76.276 100878 1.00084 -33917.6 -39443.1
402800 402800 402800 278.734 392.564 100694 1.00267 -33933.9 -39541.3
402850 402850 402850 281.927 305.436 100558 1.00403 -33935.5 -39607.1
402900 402900 402900 282.692 328.844 100488 1.00473 -33932.2 -39619.3
402950 402950 402950 281.308 8.53264 100475 1.00486 -33945.6 -39604.8
403000 403000 403000 279.061 147.134 100474 1.00487 -33974.6 -39588.6
403050 403050 403050 278.865 156.805 100505 1.00456 -34006.6 -39616.7
403100 403100 403100 277.863 -74.1048 100570 1.00391 -34042.1 -39632
403150 403150 403150 273.879 51.403 100629 1.00332 -34059.9 -39569.7
403200 403200 403200 279.566 70.797 100681 1.00281 -34046 -39670.2
403250 403250 403250 278.477 59.098 100754 1.00208 -33991.9 -39594.2
403300 403300 403300 276.734 126.844 100851 1.00112 -33913.8 -39481
403350 403350 403350 279.399 -22.8251 100969 0.999948 -33858.2 -39479
403400 403400 403400 279.025 -235.855 101074 0.998901 -33826.6 -39439.9
403450 403450 403450 283.107 -172.417 101130 0.998356 -33804.9 -39500.3
403500 403500 403500 282.11 -215.84 101146 0.998198 -33804.1 -39479.4
403550 403550 403550 282.005 -18.3787 101138 0.998275 -33815 -39488.2
403600 403600 403600 280.958 -162.201 101129 0.998365 -33836.7 -39488.9
403650 403650 403650 281.155 -219.474 101091 0.998742 -33894.8 -39550.9
403700 403700 403700 273.17 -171.724 101018 0.999457 -33945.5 -39441
403750 403750 403750 275.388 -129.361 100903 1.0006 -33959.1 -39499.2
403800 403800 403800 276.859 229.813 100763 1.00199 -33936.9 -39506.6
403850 403850 403850 279.753 358.665 100648 1.00314 -33875.9 -39503.9
403900 403900 403900 285.42 235.521 100584 1.00377 -33801 -39542.9
403950 403950 403950 280.896 79.6207 100577 1.00385 -33756.8 -39407.7
404000 404000 404000 278.757 -136.066 100596 1.00366 -33731.2 -39339.1
404050 404050 404050 279.32 -125.475 100587 1.00374 -33714.1 -39333.3
404100 404100 404100 280.354 156.708 100561 1.004 -33689.3 -39329.3
404150 404150 404150 282.503 -103.024 100550 1.00411 -33675.6 -39358.9
404200 404200 404200 282.738 6.39304 100525 1.00436 -33701.7 -39389.7
404250 404250 404250 274.633 107.451 100494 1.00467 -33811.3 -39336.3
404300 404300 404300 276.918 -111.472 100455 1.00506 -33875.9 -39446.8
404350 404350 404350 278.481 145.754 100399 1.00562 -33881.3 -39483.6
404400 404400 404400 284.485 425.85 100372 1.00589 -33878.4 -39601.5
404450 404450 404450 285.004 12.1687 100428 1.00533 -33902 -39635.6
404500 404500 404500 278.618 -345.074 100500 1.00461 -33948.5 -39553.6
404550 404550 404550 274.659 -51.125 100518 1.00443 -33988.8 -39514.2
404600 404600 404600 276.716 -102.951 100491 1.0047 -34005.1 -39572
404650 404650 404650 277.737 163.147 100433 1.00528 -34006.1 -39593.5
404700 404700 404700 279.022 -1.97042 100393 1.00568 -33976.1 -39589.3
404750 404750 404750 279.701 -85.1175 100355 1.00606 -33887.9 -39514.8
404800 404800 404800 280.345 346.76 100318 1.00643 -33808.6 -39448.5
404850 404850 404850 276.907 368.441 100336 1.00626 -33771.7 -39342.4
404900 404900 404900 282.235 -77.1751 100405 1.00556 -33750.2 -39428.1
404950 404950 404950 282.606 -223.359 100477 1.00484 -33750.3 -39435.6
405000 405000 405000 281.157 32.4403 100529 1.00432 -33765.4 -39421.6
405050 405050 405050 282.544 79.2175 100590 1.00371 -33797 -39481.1
405100 405100 405100 278.595 85.4799 100670 1.00291 -33861.8 -39466.5
405150 405150 405150 277.243 136.233 100756 1.00206 -33929.7 -39507.2
405200 405200 405200 280.318 20.733 100852 1.0011 -33961 -39600.3
405250 405250 405250 282.442 -228.425 100964 0.999994 -33973.5 -39655.5
405300 405300 405300 275.597 -416.476 101057 0.999077 -33985.7 -39530
405350 405350 405350 279.526 -627.786 101064 0.999007 -33972 -39595.4
405400 405400 405400 278.353 -258.316 100962 1.00001 -33927.2 -39526.9
405450 405450 405450 278.417 -267.24 100791 1.00171 -33873.5 -39474.6
405500 405500 405500 282.793 189.834 100576 1.00386 -33838.9 -39528
405550 405550 405550 283.696 437.042 100393 1.00568 -33843.3 -39550.6
405600 405600 405600 281.469 656.719 100284 1.00677 -33876.2 -39538.6
405650 405650 405650 284.171 640.266 100285 1.00676 -33916.7 -39633.5
405700 405700 405700 281.473 278.695 100410 1.00551 -33970.5 -39633
405750 405750 405750 275.645 110.964 100601 1.0036 -34013.5 -39558.8
405800 405800 405800 275.786 -149.581 100817 1.00146 -34017.8 -39565.9
405850 405850 405850 278.521 120.478 101012 0.999514 -34002.6 -39605.8
405900 405900 405900 279.192 -156.728 101209 0.997574 -33982.2 -39598.9
405950 405950 405950 275.458 -413.97 101360 0.996085 -33965.8 -39507.3
406000 406000 406000 280.079 -582.511 101431 0.995391 -33899.9 -39534.4
406050 406050 406050 279.209 -92.7693 101406 0.995633 -33793.9 -39410.9
406100 406100 406100 283.574 -186.668 101334 0.996344 -33762.4 -39467.2
406150 406150 406150 281.233 -312.363 101221 0.997452 -33775.8 -39433.5
406200 406200 406200 282.32 -153.785 101052 0.999121 -33808.4 -39488
406250 406250 406250 282.323 -159.632 100854 1.00108 -33854.1 -39533.8
406300 406300 406300 282.088 -194.207 100648 1.00314 -33896.7 -39571.6
406350 406350 406350 283.22 -78.465 100432 1.00529 -33938.5 -39636.2
406400 406400 406400 281.336 458.644 100246 1.00716 -33982.8 -39642.6
406450 406450 406450 281.092 266.986 100161 1.00801 -34012.6 -39667.5
406500 406500 406500 279.705 345.155 100155 1.00807 -34027.5 -39654.5
406550 406550 406550 280.824 278.43 100218 1.00744 -34042 -39691.5
406600 406600 406600 278.63 -11.5616 100322 1.00639 -34056.3 -39661.7
406650 406650 406650 277.717 -281.835 100419 1.00542 -34052.2 -39639.1
406700 406700 406700 278.366 -84.7814 100471 1.0049 -34018.7 -39618.7
406750 406750 406750 282.018 104.834 100498 1.00463 -33894.2 -39567.7
406800 406800 406800 283.633 243.926 100527 1.00434 -33824.9 -39530.9
406850 406850 406850 279.508 77.5949 100581 1.0038 -33823.3 -39446.3
406900 406900 406900 279.546 35.2067 100641 1.0032 -33834.1 -39457.9
406950 406950 406950 285.38 -3.21929 100700 1.00261 -33846.8 -39587.9
407000 407000 407000 281.838 -50.5659 100772 1.00189 -33877.3 -39547.2
407050 407050 407050 280.908 -209.119 100834 1.00128 -33928.4 -39579.6
407100 407100 407100 276.604 -170.605 100857 1.00105 -33979.2 -39543.8
407150 407150 407150 274.981 -175.427 100841 1.00121 -34002.8 -39534.8
407200 407200 407200 277.678 15.0814 100806 1.00156 -33979.1 -39565.2
407250 407250 407250 279.486 13.0747 100771 1.00191 -33942.4 -39565
407300 407300 407300 283.137 120.983 100742 1.0022 -33913.6 -39609.6
407350 407350 407350 278.834 -43.4034 100736 1.00226 -33870.8 -39480.2
407400 407400 407400 285.315 -196.584 100720 1.00242 -33766.9 -39506.7
407450 407450 407450 284.406 205.204 100689 1.00273 -33700.3 -39421.9
407500 407500 407500 283.634 617.104 100703 1.00259 -33697 -39403
407550 407550 407550 285.138 254.932 100811 1.00151 -33739.7 -39476
407600 407600 407600 282.988 -144.534 100972 0.999917 -33802.2 -39495.2
407650 407650 407650 280.484 -74.4357 101124 0.998415 -33847.7 -39490.3
407700 407700 407700 282.728 -114.382 101267 0.997003 -33877.9 -39565.7
