# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
100 100 34 130.242 1256.68 59718.6 1.00187 -24213.3 -25765.8
200 200 134 159.21 5720.81 56407.6 1.06068 -23668 -25565.9
300 300 234 203.177 10464 53884.3 1.11034 -22735.3 -25157.2
400 400 334 236.51 12804.1 51945.4 1.15179 -21594.6 -24413.9
500 500 434 283.794 15498.9 50265.5 1.19028 -20282.6 -23665.5
600 600 534 337.533 18792.3 48808.8 1.22581 -18774.1 -22797.6
700 700 634 385.981 21366.9 47534.4 1.25867 -17132.5 -21733.5
800 800 734 438.723 25731.5 46440.2 1.28833 -15410.9 -20640.6
900 900 834 504.73 29618.8 45566.8 1.31302 -13695.1 -19711.6
1000 1000 934 552.515 34069.6 44905.5 1.33236 -12145.6 -18731.8
1100 1100 1034 585.203 37308.4 44460.9 1.34568 -11052.9 -18028.7
1200 1200 1134 602.694 37348.3 44190.5 1.35391 -10679.4 -17863.6
1300 1300 1234 588.846 37320.6 43976.8 1.36049 -11029.6 -18048.8
1400 1400 1334 565.36 36785.2 43753.2 1.36745 -11505.8 -18245
1500 1500 1434 558.286 37706.8 43460.3 1.37666 -11660 -18314.9
1600 1600 1534 566.863 38747.2 43224.9 1.38416 -11442.8 -18200
1700 1700 1634 576.513 39768.8 43100.3 1.38816 -11118.8 -17991
1800 1800 1734 572.915 40979.1 43091.8 1.38844 -10938.7 -17768
1900 1900 1834 571.713 39704.6 43142.6 1.3868 -11002.7 -17817.7
2000 2000 1934 572.847 39302.2 43167.5 1.386 -11215.5 -18044
2100 2100 2034 567.595 39129.7 43151.5 1.38651 -11374.8 -18140.7
2200 2200 2134 564.542 38863.6 43112 1.38778 -11355.5 -18085
2300 2300 2234 570.765 39475.3 43051.8 1.38973 -11198.8 -18002.5
2400 2400 2334 582.071 39929.4 43028 1.39049 -11052.4 -17990.9
2500 2500 2434 577.642 39583.5 43070.7 1.38912 -11012.8 -17898.5
2600 2600 2534 564.009 39476.4 43130.2 1.3872 -11115.9 -17839
2700 2700 2634 557.767 39880.8 43160.3 1.38623 -11230.8 -17879.5
2800 2800 2734 573.361 38177.5 43159.6 1.38625 -11254.1 -18088.7
2900 2900 2834 561.696 39712 43095.3 1.38832 -11202 -17897.6
3000 3000 2934 581.446 38910.9 43043.7 1.38998 -11120.2 -18051.2
3100 3100 3034 572.786 39609.2 42968 1.39243 -11123.9 -17951.7
3200 3200 3134 576.974 39659.6 42899.7 1.39465 -11197.6 -18075.3
